app_id,date,company,role,track,voice,ats_coverage,stage
6b3681d9fd,2026-05-28,Elastic,PM,Product/AI,Sharp Product PM,0.6000,replied
f354261ebd,2026-05-28,Elastic,PM,Product/AI,Sharp Product PM,0.6000,screen
30f4ca5b7c,2026-05-29,Your client,PM,Product/AI,Sharp Product PM,0.4000,sent
abc41a78b9,2026-05-29,Client Co.,PM,Product/AI,Sharp Product PM,0.3000,sent
d952b2946f,2026-05-29,Client Co.,PM,Product/AI,Sharp Product PM,0.6000,sent
3a2b80fa86,2026-05-29,Co.,PM,Product/AI,Sharp Product PM,0.5000,sent
3073c94740,2026-05-30,Co.,PM,Product/AI,Sharp Product PM,0.7333,sent
aed024c654,2026-06-02,Boomerang,PM,HR/HRIS,Sharp Product PM,0.5789,sent
ff7e3261f7,2026-06-03,Structure Studios,Senior PM,Product/AI,Sharp Product PM,0.8235,sent
43b5d6db07,2026-06-05,Co.,PM,Product/AI,Sharp Product PM,0.7143,sent
02c4ce06b9,2026-06-05,Co.,PM,Product/AI,Sharp Product PM,0.6000,sent
010fb04426,2026-06-05,Co,PM,Product/AI,Sharp Product PM,0.6129,sent
